region,t,hazard,exposure,vulnerability,social,p_action_true,action,subgroup,risk_score,risk_var
R000,0,0.4668218697008862,0.7359095685948519,0.4574947719600061,0.3867965582012601,0.634626273715387,1,elderly,0.5900159927819133,6.391276898902162e-05
R000,1,0.5380722150624347,0.8449884426811092,0.4899923485730892,0.4250238871917399,0.6819789166348194,0,baseline,0.629185836458949,0.0001152451958751288
R000,2,0.6203806443011932,0.7580539207938058,0.4695402910057668,0.3225325573527184,0.6954586260960094,0,baseline,0.6440858055601045,8.006547937003457e-05
R000,3,0.6106499140882975,0.7917754257607048,0.4170562745814448,0.5406749513030213,0.7170903571653943,0,elderly,0.6559004174889854,0.00013928236415755113
R000,4,0.6076619993010528,0.7834118664135563,0.4777182110793093,0.4549652238720261,0.7008377025348373,1,baseline,0.6450130032076006,0.00010662308678555055
R000,5,0.6662745456097625,0.9081009239814908,0.430782000982411,0.3671965445284645,0.7518725301192648,1,baseline,0.689680193610806,0.0001551384859480033
R000,6,0.6908434583536253,0.8574671585740123,0.4454053789188981,0.3344051697393655,0.7477402667053862,0,elderly,0.687626483927987,0.00013202127458129256
R000,7,0.7074754410795634,0.8381812524981399,0.4782604652169016,0.3518698467067488,0.7464808494842556,0,baseline,0.6866288727917333,0.00012758792208031957
R000,8,0.6952079195906145,0.8119529737744184,0.4946741906990513,0.4407803723130865,0.7383116526019262,1,baseline,0.6776165304261227,0.00012929869292105186
R000,9,0.7066451408629232,0.8154745138724669,0.4826671630935688,0.2727052354500516,0.73698814642813,0,baseline,0.6808455487693108,0.00011334875685979798
R000,10,0.6930453536711185,0.7690746515258007,0.4373456392403076,0.5679149485590579,0.7438269733155144,1,migrant,0.6786283506775589,0.00015303465375033156
R000,11,0.7776240006381693,0.7168750553571775,0.434358500302353,0.4346961239461189,0.7610056424786563,1,migrant,0.6974453969484103,0.00011966414692848374
R000,12,0.7767116534198576,0.8406859056979641,0.4336664981892199,0.3721856381691616,0.782381149687611,1,baseline,0.7164447520414396,0.0001527621137106054
R000,13,0.7427683647592416,0.7372342277710717,0.3944383911014678,0.3264755888354572,0.7517122122344637,1,baseline,0.6917149100637939,0.00010860163410104478
R000,14,0.7698332510099152,0.8355428116413562,0.4297401194848151,0.4342747865432897,0.7822945841366796,1,baseline,0.7146910649952939,0.00016004417272390937
R000,15,0.7567737052232024,0.8238573058158384,0.4180064547483093,0.3821154327791111,0.7738857466791578,1,baseline,0.7088231658351352,0.00014359512372902724
R000,16,0.7210879978002358,0.8253671679772469,0.4276326347915056,0.419670229308387,0.7603472489622372,1,baseline,0.696250509937042,0.00014044367148747893
R000,17,0.8109183733182473,0.8342877993866071,0.4461784775761706,0.3760909862312029,0.7931026868797549,1,migrant,0.7257764846534904,0.00015962009341130757
R000,18,0.7109767905634982,0.7286629203168135,0.3849677711839217,0.3186961346754701,0.7383129413449473,0,elderly,0.6803496634224496,9.902419867686408e-05
R000,19,0.7558322087393514,0.7821104162359983,0.5160641666909451,0.3827944203294757,0.7504850627557722,1,baseline,0.6901824424980829,0.000121088955763258
R000,20,0.7591742017053512,0.7907466660445863,0.4036016490561128,0.3845175098455621,0.770504642024919,1,baseline,0.7059672243107294,0.00013395735801769606
R000,21,0.7232039280747682,0.8227397261152607,0.4629895319182557,0.3590058218659389,0.7523313777585181,0,migrant,0.6914290683230325,0.0001271867229675347
R000,22,0.8158413198627241,0.7745439084847776,0.462736562369377,0.4206060319879626,0.7828651268860368,1,baseline,0.7164792185647563,0.0001442684816394216
R000,23,0.8018705785695777,0.7498436693068745,0.4600665335494576,0.4404204858327948,0.7737280095484271,1,migrant,0.7082610427674121,0.00013559939022018754
R000,24,0.856129191429307,0.8188620968954432,0.52426789636262,0.2995445120033332,0.7925611370965852,1,migrant,0.7284395151970883,0.00015615788979388414
R000,25,0.7675095628729526,0.7815280537801794,0.3822684444238264,0.4819359121170588,0.780065964847496,1,baseline,0.7113966379123026,0.00015459025933116087
R000,26,0.7386945297518978,0.7502395898775907,0.4667784441741516,0.5022334742250565,0.7506206369614074,1,baseline,0.6867679654873324,0.000132985660900041
R000,27,0.9552630725347522,0.8217390156017677,0.4016258458000486,0.2052161893624874,0.8464699647323715,1,elderly,0.7759334270738508,0.00021200488589108595
R000,28,0.7652080309403287,0.7802506809289835,0.4204979118486514,0.4043417287939798,0.7692757482243295,0,baseline,0.7046657509992698,0.0001328202614043516
R000,29,0.8089585898796217,0.7930868020860333,0.3993200641603512,0.2509525229651826,0.7848504128932619,1,baseline,0.7218590378888979,0.0001439509394540634
R000,30,0.7926543847204837,0.889415039616962,0.4576164778752861,0.5166947685379241,0.8021370285571892,0,baseline,0.7294073459009438,0.00021187249918769885
R000,31,0.7293446261958989,0.7527627058263492,0.4148414485748541,0.6312677906791347,0.7616275638913581,0,baseline,0.6921220260994642,0.0001819367474495116
R000,32,0.822804440266505,0.7558721850336164,0.497681402445354,0.4569159140462046,0.7784897984488325,1,baseline,0.7123084608186144,0.00014492201305475576
R000,33,0.7702029059024427,0.7682791591664982,0.4734063618757458,0.3729224694015403,0.759372163382992,1,baseline,0.6977185444808589,0.00012109446029575174
R000,34,0.6988150854904059,0.8096479398240738,0.5300573146221635,0.4344199787929621,0.7336680239073007,0,baseline,0.6742290591010995,0.00012703602167552208
R000,35,0.7666248879834495,0.8663186310233091,0.4620718768698346,0.3773280943522445,0.7794693045851787,1,baseline,0.7139093393209128,0.00015890169135963052
R000,36,0.7625881463532955,0.8778063435377674,0.4602644736627371,0.2959739142635683,0.7763555519126396,1,baseline,0.7133039714015752,0.000154201382491693
R000,37,0.8117564795201577,0.8872018299771327,0.4421267911375118,0.3801020853220195,0.804829043398964,1,baseline,0.7352527128220209,0.00018370906213786918
R000,38,0.6612117022835838,0.7562821929901764,0.483269091536094,0.3789603051496593,0.7121987710385378,1,baseline,0.657154796246134,9.18926129941871e-05
R000,39,0.6950940424622529,0.8178972713779145,0.5214768448673277,0.4274793081257929,0.7347695099366746,1,baseline,0.6751909394130676,0.00012806406345670712
R000,40,0.5868650240820269,0.7985826238414618,0.4089412382869982,0.2965395113932555,0.6979483242277161,1,baseline,0.6458577878356997,9.086779645297235e-05
R000,41,0.6582396296532876,0.8468136710557684,0.3847831159146636,0.42148396669506,0.7460153170200222,1,baseline,0.6831633858773699,0.0001407346086816588
R000,42,0.6844701965973138,0.7768100722712888,0.4347190970835438,0.5186965999660788,0.7398770585289557,1,baseline,0.6764578081778517,0.00013769382737352357
R000,43,0.7116034008315056,0.7932932599754727,0.4163056212181066,0.3960349357475684,0.7506559159323593,1,baseline,0.6886915343493134,0.0001228314923549804
R000,44,0.6379070583318939,0.7467991403262995,0.4556272408830355,0.4412436504495088,0.7082407477880377,0,baseline,0.6518191987919081,9.668142702970988e-05
R000,45,0.7069884402016936,0.7583563764100267,0.436733583724183,0.272076617251918,0.7325604446666513,0,baseline,0.6770078757468866,9.932679520055195e-05
R000,46,0.6127854273681079,0.8613112249823794,0.4146485599144614,0.3530061734288386,0.7228294406279918,1,baseline,0.665273882524215,0.00012335868328684373
R000,47,0.5725911154138684,0.7478978233449897,0.4246307804333381,0.3307347396188594,0.6814581307504874,0,migrant,0.6313650252674121,7.339651685924248e-05
R000,48,0.4764872095657465,0.7276662816684183,0.5575651074030568,0.2896785593082152,0.6169773020149345,0,baseline,0.5787002682647319,5.298560586421618e-05
R000,49,0.639868523242108,0.9462719023999882,0.3925244203603747,0.3815959217568153,0.7554029228106254,1,baseline,0.6915422427051345,0.00017598958822321952
R000,50,0.6181769632988448,0.7516756900165559,0.4388388595045363,0.4961545750417927,0.7065878231492583,1,baseline,0.6486701238978706,0.00010957795214742134
R000,51,0.4967932450680409,0.7943273957121657,0.3823579613831427,0.3946034430381518,0.6699592551140858,1,baseline,0.6188277075304305,9.198419693458548e-05
R000,52,0.5112773623392608,0.773252182997017,0.4746796779288987,0.5196923992176012,0.663944049806653,0,elderly,0.6115465690708495,0.00011108831362399585
R000,53,0.5016015832277478,0.8036763113168611,0.4511069714562125,0.3462650140813336,0.6610231005401062,1,baseline,0.6131709449988806,8.308371421474449e-05
R000,54,0.4638384411216311,0.9056769593844975,0.529770496925404,0.4570054726912684,0.6600554674213048,1,baseline,0.6093798501122856,0.00014774618513783885
R000,55,0.3981808829796568,0.860575691592411,0.4642402130589987,0.4664351577747794,0.6350732174402343,1,elderly,0.5872321297396548,0.00012753764861549033
R000,56,0.485745553211487,0.8237395608486859,0.3955812175809179,0.3712683366906234,0.6682723676517256,0,baseline,0.6179036076984822,9.696885186269628e-05
R000,57,0.4281044107964897,0.78640998464779,0.4459283383983438,0.3932230796149298,0.6312956644691489,1,baseline,0.5863929734535751,8.030896864625169e-05
R000,58,0.4857578705310558,0.6726856218914029,0.4392602385761576,0.436072059572863,0.6347548397829224,1,elderly,0.5891351935616224,5.745993329208956e-05
R000,59,0.3809414462924963,0.7131824548140386,0.4675025259873473,0.5911558388520368,0.6044454825243061,1,elderly,0.558822044701254,0.00011379399911823911
R000,60,0.4307883345218505,0.7845922827818231,0.4480365345101995,0.3131309663652234,0.6276848585068361,1,migrant,0.5854888893419454,6.92286842906225e-05
R000,61,0.4414159069987816,0.8301513060373531,0.537718332072139,0.5361620063333877,0.6387469745128318,1,baseline,0.5896496206040537,0.00013883258296009833
R000,62,0.4532320203691589,0.8229682018748827,0.4925021606414947,0.3887637220821475,0.6414493105305233,1,baseline,0.595487416256615,9.272827933057543e-05
R000,63,0.3216350348929278,0.8504977406677104,0.3921875706458985,0.4966558516773844,0.6147582190776977,0,baseline,0.5681563938577701,0.00013810177883158233
R000,64,0.3513871542489682,0.8595808986113338,0.4886462012382048,0.6004854332002985,0.6191983828961383,1,baseline,0.5702370484554047,0.00018136202983944796
R000,65,0.2615534309677439,0.7976708852930577,0.392502392171901,0.3665928331989908,0.5736098322798735,0,elderly,0.5367049598656906,8.792138885390883e-05
R000,66,0.3652804365506412,0.7660720225090305,0.4004168834796219,0.4216990267232444,0.6103489979362815,1,baseline,0.5672251184885363,8.122259646889197e-05
R000,67,0.2940840828899725,0.81661901751553,0.5088683536069767,0.4792969646580623,0.5785920318509516,1,migrant,0.5391616396863279,0.00011775993008962565
R000,68,0.3381105090128239,0.8046202225995966,0.4717972660702765,0.580041785600739,0.6044007474945445,1,elderly,0.5583304655544568,0.0001465768246870664
R000,69,0.2896221377732151,0.8305638600776355,0.3720230318289447,0.5660157222409692,0.6044589584625198,0,baseline,0.5573493733077713,0.00015902610528691885
R000,70,0.3588416130822956,0.7724713608618781,0.4917909362999523,0.5252679730345222,0.6005256756120272,0,baseline,0.5569933076004742,0.00011081650230308505
R000,71,0.3266289429588619,0.814535705902054,0.4079354885646727,0.403667949411583,0.6025517925498338,1,baseline,0.5606606785598471,9.584214867913451e-05
R000,72,0.3335433223512528,0.8510097562834825,0.3981759477027213,0.4059199144036605,0.6141888837619726,0,migrant,0.5701845562579542,0.00011169095841492607
R000,73,0.2777294868832989,0.7599060430734518,0.4612180613932015,0.5028593364841504,0.5690332609832371,1,migrant,0.5302277650049153,0.00010399347839474719
R000,74,0.3829604433119749,0.8438582430662941,0.4931937551461449,0.4738324675680276,0.6216683860445285,0,elderly,0.5759788413432937,0.00012235030176906218
R000,75,0.3089192245894682,0.700842429334642,0.5313154698774989,0.3726508743399357,0.5526713989380877,1,elderly,0.5210065543228081,5.405155196292101e-05
R000,76,0.3883697068043372,0.7209055668850215,0.3885203910963348,0.258293023723733,0.6041655886204756,0,elderly,0.5665724615659091,5.2915286248141114e-05
R000,77,0.3496229270606512,0.8272279360786063,0.4649164607680695,0.2771442290463817,0.5994145003770904,0,elderly,0.5619415652891427,8.025827475298003e-05
R000,78,0.3361214252752755,0.777429742256051,0.4740720403874724,0.4886161800577453,0.5932545215060868,0,elderly,0.551468740023195,0.00010140950880293596
R000,79,0.3070366957959932,0.8079306155409018,0.4891094060704345,0.4413419548471252,0.5831014882583687,1,baseline,0.5439129262250036,0.00010150963717515097
R000,80,0.3126336150439742,0.7920379732463949,0.4609415566344897,0.5004736649773602,0.5893434904205633,0,baseline,0.5474963062709073,0.00011239632600204898
R000,81,0.3825645888445473,0.7877266043421989,0.4452256434352353,0.5013727216380256,0.6188559459728746,1,baseline,0.5727381358806671,0.00010804431842104315
R000,82,0.3012116776570311,0.7269092740658267,0.3344219458092266,0.3505943734201006,0.5832329526755989,0,migrant,0.5453584750971161,6.629470950348197e-05
R000,83,0.362169473944705,0.8109080480350604,0.5055636266371815,0.5511894306623875,0.6087743267224363,0,elderly,0.5632211585004909,0.00013654380442458568
R000,84,0.3491241754965848,0.8686978384164377,0.4557090847233473,0.3346809950528721,0.611766924926063,1,elderly,0.5705500586545286,0.00010266449200397649
R000,85,0.3255103497303099,0.7566118512512852,0.4332019173979203,0.4987793193734784,0.5914851885013669,0,baseline,0.5493693626618292,9.813716446939347e-05
R000,86,0.3430741961125458,0.8206599173509638,0.3990755548437651,0.4658905262819385,0.6147948550027431,0,baseline,0.5693633822085205,0.00011378694382660597
R000,87,0.3339357795863009,0.847433393516392,0.4208527161612053,0.3650307935982628,0.608184622793531,0,elderly,0.5664191201303078,0.00010056799818041184
R000,88,0.4066594652992001,0.8224130659727137,0.4416405347548215,0.4512870176638664,0.6334646699841929,1,elderly,0.5863242274607106,0.00010710017669047605
R000,89,0.5198345393552359,0.7838792363947488,0.3772598609593552,0.5251430590928167,0.6843778368317818,1,baseline,0.6277480149453868,0.00012360964016017877
R000,90,0.5244323932711743,0.8201873995970913,0.4445458752914746,0.4532984068402478,0.6797934762761793,1,migrant,0.6262195178896293,0.00011215057429019265
R000,91,0.5878627892604752,0.8044876006946067,0.4591122814674956,0.5260448331822569,0.7034780352821,1,baseline,0.6449600764808766,0.00013376714058212843
R000,92,0.5163223864888606,0.7997254015402749,0.4667981623745195,0.3350839368406777,0.6632085073894551,1,elderly,0.615575690378182,8.096449249905447e-05
R000,93,0.4119518768299812,0.7451493382884874,0.4281689875546752,0.3891016587707421,0.6190403531950258,1,baseline,0.5761033179401834,6.653179131422253e-05
R000,94,0.5870417495739301,0.7529139881208864,0.4684881744241896,0.3777129938005858,0.6840119209801501,1,baseline,0.6327701549629862,7.893296699949297e-05
R000,95,0.5572891292968114,0.8319770997867375,0.4341398276074411,0.5248059707090542,0.7004303960704087,1,migrant,0.6418314559537922,0.00014292012267907663
R001,0,0.4801834974732947,0.5879563259912205,0.3856867078405689,0.4249826549729117,0.6230607907601223,0,elderly,0.57947520752888,4.301970429567204e-05
R001,1,0.5134733388200478,0.5163406117654423,0.4218051293758749,0.5505521135339232,0.6229142941514226,1,baseline,0.5770135633549446,6.055926325647113e-05
R001,2,0.4939265999418626,0.5816157501901655,0.3730922147828828,0.5355781256358472,0.6347088640791382,0,elderly,0.586423733509583,6.765948335149271e-05
R001,3,0.5075997006627341,0.4593768714685308,0.3137728260488432,0.5784096360707232,0.6267698124550094,0,elderly,0.5788020591012474,7.455071685970671e-05
R001,4,0.504338238176025,0.4837922984226858,0.2402994256681209,0.3876738622960687,0.6318325342195326,0,baseline,0.5872308996296421,5.711345373703978e-05
R001,5,0.577711568463607,0.5309388569222562,0.4117798780352187,0.2859275777898878,0.6398017959541057,1,migrant,0.598459979597885,4.0544822665594775e-05
R001,6,0.5762522203066937,0.5546124386336783,0.4280661736447075,0.4764879357129374,0.6510378465883538,1,migrant,0.6029709266118582,5.341952289447652e-05
R001,7,0.5517610470078466,0.603808241645258,0.469972714941403,0.3450084611241909,0.6382205829471893,0,baseline,0.5955502388927625,3.844233047536764e-05
R001,8,0.667396705380646,0.5493502718899776,0.4587169371635313,0.3977698419001138,0.6779096880507299,1,elderly,0.6286480275183626,5.504508576208779e-05
R001,9,0.6210743376598075,0.5718289123908654,0.4667617686436986,0.4058463653449151,0.663073570512787,1,baseline,0.6155513683584367,4.921008530229416e-05
R001,10,0.6053696354153968,0.5815341687568876,0.3102379139511777,0.5057705033544443,0.6872075259925818,1,baseline,0.6316940675385834,8.165859361028381e-05
R001,11,0.6978345753763296,0.4392044559797071,0.349197578804995,0.2733765979659219,0.6782639144240201,0,elderly,0.6319859236618418,7.652176632873598e-05
R001,12,0.6647674789167183,0.5499561399522429,0.3758569891128027,0.4261049259513261,0.6908249174877819,1,migrant,0.63801715735401,6.522891253757165e-05
R001,13,0.6131406383372233,0.5942599532696832,0.4216591660794777,0.4805272068549422,0.6748857314196515,1,baseline,0.6229735286826427,6.565354875716517e-05
R001,14,0.6887667236778762,0.660671136361284,0.384171159007578,0.4113150912558745,0.7205809974550644,1,baseline,0.663165681611344,8.506269435058004e-05
R001,15,0.6318617581113788,0.4966938818446769,0.3440860018986575,0.434955374924125,0.6722183480748944,0,baseline,0.6218471914273932,6.043730257244295e-05
R001,16,0.6946709424383521,0.5206407073532451,0.4335350957612016,0.5159646803194269,0.692764488097781,1,baseline,0.6382002663666343,7.775484932913814e-05
R001,17,0.6671798667145707,0.5863388672662206,0.3979245469345087,0.2972106871478274,0.6893115724562875,1,elderly,0.6401385427883819,6.155544472935438e-05
R001,18,0.719679162296175,0.5139327319003429,0.3980180372020756,0.2965411645635533,0.6957825639464049,1,migrant,0.6463670579951478,7.0138441596508e-05
R001,19,0.7747375201913823,0.5462916045095825,0.4066985844521571,0.2010312165093447,0.7182001021361131,0,elderly,0.6680709498043846,9.692243494013495e-05
R001,20,0.7023999991292948,0.5053108201533877,0.4242456916917364,0.6417530661641315,0.7004729632368417,1,migrant,0.6414639021340485,0.00011571340114848519
R001,21,0.6789306384611823,0.5706898896402272,0.4690816749851845,0.3197859818353418,0.6813372811565077,1,elderly,0.6336421555159386,5.5646445684318805e-05
R001,22,0.8145336464487424,0.4763295138157673,0.3244724072179119,0.3996627524432483,0.742391637882126,1,baseline,0.6831767917857037,0.00010775494923402592
R001,23,0.7657022837619674,0.5710004572157725,0.299777764578097,0.4935644533794133,0.7501925629301975,0,migrant,0.6862316618882133,0.0001154669229959824
R001,24,0.7893298494116963,0.5275380944028847,0.3566951034050917,0.4961365741697853,0.7425421218429809,0,elderly,0.6806306507825058,0.00010728235283046064
R001,25,0.7474771875710953,0.4746376053554902,0.415427589556616,0.3385926079218923,0.6985338880621385,1,baseline,0.648151853723961,7.344738413183743e-05
R001,26,0.6522819821381339,0.5812335786018838,0.3481959223448348,0.31375994806328,0.6906181176270692,0,elderly,0.6402722003465863,6.449283146849724e-05
R001,27,0.7328860347492795,0.5282186311550858,0.4610848100112567,0.3979581709323579,0.6995333271756583,1,elderly,0.6474778712854408,6.802327501565742e-05
R001,28,0.7305346175208314,0.5279341745183,0.4120826822301999,0.3886781783728597,0.7054221884961056,0,baseline,0.6522217495106786,7.116971340386423e-05
R001,29,0.7804721529285779,0.506888168599109,0.2678868510137289,0.6031171125905217,0.7535393228687196,0,baseline,0.6863393080480478,0.00014511991766806516
R001,30,0.6863139084199893,0.4620755691937214,0.3730016687504063,0.4134011181052652,0.6816604827994424,0,migrant,0.6312077455113382,6.502604281378217e-05
R001,31,0.644156271851714,0.5878955283485545,0.4147512363245078,0.2925828511074015,0.6776580715170903,0,baseline,0.6304139506675296,5.5135450254811306e-05
R001,32,0.7947480886080386,0.5675154878465837,0.3716596094567782,0.42782309164858,0.7470445461764446,1,baseline,0.6861795922539671,0.00010105937174685535
R001,33,0.5969413113649097,0.5671370063735958,0.3690026700870629,0.6268059143849367,0.6781938210268703,1,migrant,0.6214840392105312,0.0001063357647782181
R001,34,0.7573402041934192,0.5037304363356303,0.4178888259003431,0.4739634394684551,0.714697017032865,1,migrant,0.6581856659795667,8.491304105767773e-05
R001,35,0.6724372461662257,0.6195434130663107,0.3723362823458734,0.2728271481723558,0.7006744961364892,0,elderly,0.6499873373189888,7.104644881075946e-05
R001,36,0.6072630291216455,0.5418004242915365,0.3844464790759474,0.2714581914877804,0.6571712342199625,1,baseline,0.6133891686122217,4.9906663398896804e-05
R001,37,0.6645472841159278,0.5327815364162467,0.2602886504691751,0.5205078167501457,0.7093573141967515,1,baseline,0.650206970852027,9.913661215272275e-05
R001,38,0.5921041046149903,0.4930759606718186,0.4303162623759203,0.4769584753453751,0.6447573183912406,0,baseline,0.5981177148031624,5.0241465558307626e-05
R001,39,0.6337552027894219,0.5799269011609776,0.4079110246233042,0.4253306200784756,0.6795673386583925,1,baseline,0.6284598498815053,5.894543557165998e-05
R001,40,0.631861748627042,0.6215037216529904,0.3624597216283392,0.3984826657949359,0.6926006188269109,1,baseline,0.6395046893386658,6.71609388532975e-05
R001,41,0.625719747178334,0.6338361932395673,0.3655838429027384,0.399546040310023,0.6921948630993375,1,elderly,0.6390550775414431,6.789610129371062e-05
R001,42,0.5589902716552617,0.6065201538817252,0.2759370030292511,0.3593529083976427,0.6714772344039444,1,baseline,0.621478625289968,6.468322655434343e-05
R001,43,0.4399495542711175,0.5107355490062905,0.3427680617679071,0.4219129476374491,0.5978073696263915,1,baseline,0.55798215389191,3.753201883897586e-05
